Factura,Producto,Cantidad
I000001,Producto 1,13
I000001,Producto 2,3
I000001,Producto 3,4
I000001,Producto 4,12
I000001,Producto 5,10
I000002,Producto 1,14
I000002,Producto 2,10
I000002,Producto 3,11
I000002,Producto 4,15
I000002,Producto 5,13
I000003,Producto 1,20
I000003,Producto 2,8
I000003,Producto 3,3
I000003,Producto 4,9
I000003,Producto 5,17
I000004,Producto 1,11
I000004,Producto 2,1
I000004,Producto 3,7
I000004,Producto 4,11
I000004,Producto 5,11
I000005,Producto 1,14
I000005,Producto 2,5
I000005,Producto 3,8
I000005,Producto 4,18
I000005,Producto 5,12
I000006,Producto 1,11
I000006,Producto 2,5
I000006,Producto 3,8
I000006,Producto 4,13
I000006,Producto 5,8
I000007,Producto 1,9
I000007,Producto 2,5
I000007,Producto 3,11
I000007,Producto 4,9
I000007,Producto 5,6
I000008,Producto 1,18
I000008,Producto 2,5
I000008,Producto 3,11
I000008,Producto 4,21
I000008,Producto 5,9
I000009,Producto 1,22
I000009,Producto 2,3
I000009,Producto 3,9
I000009,Producto 4,11
I000009,Producto 5,14
I000010,Producto 1,12
I000010,Producto 2,5
I000010,Producto 3,5
I000010,Producto 4,14
I000010,Producto 5,7
I000011,Producto 1,13
I000011,Producto 2,5
I000011,Producto 3,7
I000011,Producto 4,13
I000011,Producto 5,13
I000012,Producto 1,13
I000012,Producto 2,7
I000012,Producto 3,11
I000012,Producto 4,8
I000012,Producto 5,11
I000013,Producto 1,12
I000013,Producto 2,0
I000013,Producto 3,6
I000013,Producto 4,10
I000013,Producto 5,14
I000014,Producto 1,14
I000014,Producto 2,4
I000014,Producto 3,7
I000014,Producto 4,16
I000014,Producto 5,12
I000015,Producto 1,12
I000015,Producto 2,8
I000015,Producto 3,11
I000015,Producto 4,14
I000015,Producto 5,9
I000016,Producto 1,10
I000016,Producto 2,6
I000016,Producto 3,11
I000016,Producto 4,9
I000016,Producto 5,15
I000017,Producto 1,13
I000017,Producto 2,6
I000017,Producto 3,5
I000017,Producto 4,18
I000017,Producto 5,10
I000018,Producto 1,6
I000018,Producto 2,7
I000018,Producto 3,6
I000018,Producto 4,12
I000018,Producto 5,16
I000019,Producto 1,18
I000019,Producto 2,3
I000019,Producto 3,9
I000019,Producto 4,10
I000019,Producto 5,11
I000020,Producto 1,12
I000020,Producto 2,2
I000020,Producto 3,8
I000020,Producto 4,11
I000020,Producto 5,9
I000021,Producto 1,16
I000021,Producto 2,7
I000021,Producto 3,8
I000021,Producto 4,16
I000021,Producto 5,12
I000022,Producto 1,18
I000022,Producto 2,1
I000022,Producto 3,6
I000022,Producto 4,14
I000022,Producto 5,11
I000023,Producto 1,23
I000023,Producto 2,5
I000023,Producto 3,3
I000023,Producto 4,13
I000023,Producto 5,11
I000024,Producto 1,15
I000024,Producto 2,3
I000024,Producto 3,3
I000024,Producto 4,12
I000024,Producto 5,14
I000025,Producto 1,10
I000025,Producto 2,2
I000025,Producto 3,5
I000025,Producto 4,14
I000025,Producto 5,8
I000026,Producto 1,16
I000026,Producto 2,1
I000026,Producto 3,11
I000026,Producto 4,15
I000026,Producto 5,15
I000027,Producto 1,16
I000027,Producto 2,5
I000027,Producto 3,3
I000027,Producto 4,14
I000027,Producto 5,12
I000028,Producto 1,12
I000028,Producto 2,7
I000028,Producto 3,6
I000028,Producto 4,12
I000028,Producto 5,11
I000029,Producto 1,17
I000029,Producto 2,5
I000029,Producto 3,6
I000029,Producto 4,10
I000029,Producto 5,10
I000030,Producto 1,14
I000030,Producto 2,3
I000030,Producto 3,8
I000030,Producto 4,10
I000030,Producto 5,9
I000031,Producto 1,12
I000031,Producto 2,3
I000031,Producto 3,7
I000031,Producto 4,14
I000031,Producto 5,12
I000032,Producto 1,20
I000032,Producto 2,2
I000032,Producto 3,14
I000032,Producto 4,18
I000032,Producto 5,10
I000033,Producto 1,12
I000033,Producto 2,4
I000033,Producto 3,9
I000033,Producto 4,18
I000033,Producto 5,14
I000034,Producto 1,16
I000034,Producto 2,7
I000034,Producto 3,5
I000034,Producto 4,17
I000034,Producto 5,8
I000035,Producto 1,20
I000035,Producto 2,3
I000035,Producto 3,9
I000035,Producto 4,10
I000035,Producto 5,9
I000036,Producto 1,17
I000036,Producto 2,6
I000036,Producto 3,6
I000036,Producto 4,7
I000036,Producto 5,14
I000037,Producto 1,11
I000037,Producto 2,5
I000037,Producto 3,6
I000037,Producto 4,11
I000037,Producto 5,18
I000038,Producto 1,19
I000038,Producto 2,7
I000038,Producto 3,8
I000038,Producto 4,11
I000038,Producto 5,8
I000039,Producto 1,19
I000039,Producto 2,1
I000039,Producto 3,13
I000039,Producto 4,9
I000039,Producto 5,12
I000040,Producto 1,13
I000040,Producto 2,6
I000040,Producto 3,16
I000040,Producto 4,8
I000040,Producto 5,12
I000041,Producto 1,11
I000041,Producto 2,3
I000041,Producto 3,10
I000041,Producto 4,14
I000041,Producto 5,11
I000042,Producto 1,23
I000042,Producto 2,5
I000042,Producto 3,6
I000042,Producto 4,11
I000042,Producto 5,11
I000043,Producto 1,16
I000043,Producto 2,6
I000043,Producto 3,6
I000043,Producto 4,14
I000043,Producto 5,14
I000044,Producto 1,19
I000044,Producto 2,11
I000044,Producto 3,7
I000044,Producto 4,17
I000044,Producto 5,12
I000045,Producto 1,13
I000045,Producto 2,6
I000045,Producto 3,4
I000045,Producto 4,14
I000045,Producto 5,11
I000046,Producto 1,20
I000046,Producto 2,7
I000046,Producto 3,8
I000046,Producto 4,10
I000046,Producto 5,14
I000047,Producto 1,20
I000047,Producto 2,6
I000047,Producto 3,6
I000047,Producto 4,15
I000047,Producto 5,9
I000048,Producto 1,12
I000048,Producto 2,7
I000048,Producto 3,7
